Batch	Day	Size (µm2)	radius	Volume
Batch 19	Day31	3654717.45	1078.579017	5255868739
Batch 19	Day31	3422219.63	1043.707977	4762397235
Batch 19	Day31	3930427.48	1118.523099	5861698569
Batch 19	Day31	3570772.56	1066.120165	5075830177
Batch 19	Day31	3249808.86	1017.077327	4407075877
Batch 19	Day31	3565524.36	1065.336404	5064643866
Batch 19	Day31	4162539.78	1151.076698	6388536724
Batch 19	Day31	2967229.74	971.8531581	3844948791
Batch 20	Day31	4155802.11	1150.144729	6373031853
Batch 20	Day31	5015945.91	1263.576342	8450707445
Batch 20	Day31	4298773.9	1169.761613	6704720921
Batch 20	Day31	4277772.35	1166.900694	6655647366
Batch 20	Day31	5060691.4	1269.199789	8564037940
Batch 20	Day31	4432581.06	1187.827585	7020189410
Batch 20	Day31	4872001.58	1245.313723	8089560567
Batch 20	Day31	3741851.56	1091.360776	5444946698
Batch 20	Day31	3876867.81	1110.875939	5742292224
Batch 21	Day31	4174254.04	1152.695245	6415523712
Batch 21	Day31	4471026.96	1192.967763	7111721372
Batch 21	Day31	3294256.46	1024.008984	4497797613
Batch 21	Day31	4454178.4	1190.717859	7071559690
Batch 21	Day31	4306273.83	1170.781591	6722274832
Batch 21	Day31	4199724.01	1156.206587	6474331418
Batch 21	Day31	4417484.82	1185.803141	6984356502
Batch 12	Day32	5951702.31	1376.403169	10922589231
Batch 12	Day32	3405108.22	1041.095389	4726723291
Batch 12	Day32	5490535.49	1322.002922	9678005285
Batch 12	Day32	5224287.99	1289.551285	8982649718
Batch 12	Day32	4833196.45	1240.344392	7993104153
Batch 12	Day32	4151833.11	1149.595374	6363904184
Batch 13	Day32	3433986.46	1045.50076	4786980605
Batch 13	Day32	3420589.97	1043.459441	4758995862
Batch 13	Day32	5130854.29	1277.967779	8742755284
Batch 13	Day32	3532869.88	1060.446797	4995227398
Batch 13	Day32	3683271.5	1082.78425	5317584491
Batch 13	Day32	3953111.26	1121.746137	5912516379
Batch 17	Day35	4389885.78	1182.093077	6919004787
Batch 17	Day35	5472766.97	1319.86205	9631063244
Batch 17	Day35	5154896.12	1280.95839	8804276580
Batch 17	Day35	6238635.95	1409.19108	11721906841
Batch 17	Day35	6064674.38	1389.404841	11235050589
Batch 17	Day35	5115924.52	1276.107108	8704623527
Batch 18	Day35	4974547.35	1258.351144	8346303130
Batch 18	Day35	4454528.86	1190.764702	7072394305
Batch 18	Day35	5455962.22	1317.834099	9586737411
Batch 18	Day35	4773205.78	1232.622646	7844748721
Batch 18	Day35	4849090	1242.382101	8032563499
Batch 18	Day35	5999707.12	1381.942868	11055003286
Batch 18	Day35	4076378.21	1139.101174	6191209605
Batch 18	Day35	4631968.79	1214.249339	7499153391
Batch 19	Day35	5637563.9	1339.586624	10069340257
Batch 19	Day35	4116699.09	1144.720935	6283295508
Batch 19	Day35	4642184.81	1215.587643	7523976657
Batch 19	Day35	4236251.12	1161.223756	6558980583
Batch 19	Day35	4237968.4	1161.459099	6562969280
Batch 19	Day35	3624340.98	1074.087317	5190478239
Batch 19	Day35	4178739.98	1153.314462	6425868334
Batch 19	Day35	3654323.17	1078.520835	5255018237
Batch 20	Day35	5975498.82	1379.15204	10988161850
Batch 20	Day35	6784781.52	1469.579203	13294365090
Batch 20	Day35	5606994.68	1335.949789	9987551145
Batch 20	Day35	5355344.01	1305.625881	9322767658
Batch 20	Day35	5577888.65	1332.477805	9909883768
Batch 21	Day35	5131450.08	1278.041975	8744278129
Batch 21	Day35	5872541.25	1367.219052	10705400376
Batch 21	Day35	4251750.39	1163.346115	6595009730
Batch 21	Day35	4198059.31	1155.977414	6470482325
